tempo_min,sensorId,latitude,longitude,vazao,status,pH,DQO,OD,turbidez,temperatura,coliformes,ecoli,H2S,amonia,qualidade
3.00,SENSOR_001,-23.490000,-46.590000,150.53,NORMAL,8.14,266.16,4.47,701.91,31.43,1744,451,0.47,4.33,RUIM
3.00,SENSOR_002,-23.480000,-46.580000,175.97,NORMAL,6.55,255.66,4.75,725.22,26.19,1495,1041,1.15,1.75,MODERADA
3.00,SENSOR_003,-23.470000,-46.570000,163.83,NORMAL,7.34,324.99,1.28,903.44,18.90,1869,382,1.61,4.54,RUIM
3.00,SENSOR_004,-23.460000,-46.560000,182.58,NORMAL,8.46,237.64,4.41,230.75,31.76,685,166,1.65,2.69,RUIM
3.00,SENSOR_005,-23.450000,-46.550000,221.68,NORMAL,8.42,531.74,3.42,243.85,24.50,752,672,1.67,2.86,RUIM
3.00,SENSOR_006,-23.440000,-46.540000,237.24,NORMAL,8.35,489.24,2.15,611.90,30.79,1038,511,1.31,3.59,MODERADA
3.00,SENSOR_007,-23.430000,-46.530000,238.91,NORMAL,6.51,257.90,4.73,728.84,20.69,522,403,1.53,2.82,RUIM
4.00,SENSOR_000,-23.500000,-46.600000,120.04,NORMAL,6.85,468.24,4.03,456.63,23.53,2174,280,0.16,2.08,RUIM
4.00,SENSOR_001,-23.490000,-46.590000,146.09,NORMAL,7.58,519.11,3.06,184.20,24.99,1382,397,1.52,0.58,RUIM
4.00,SENSOR_002,-23.480000,-46.580000,149.58,NORMAL,7.04,353.38,3.06,128.25,22.20,1631,380,1.68,0.62,RUIM
4.00,SENSOR_003,-23.470000,-46.570000,189.82,NORMAL,8.00,383.54,4.12,605.43,31.57,516,660,1.14,0.71,MODERADA
4.00,SENSOR_004,-23.460000,-46.560000,47.07,ENTUPIMENTO,6.66,515.12,1.83,164.66,22.03,1721,1074,0.92,4.19,RUIM
4.00,SENSOR_005,-23.450000,-46.550000,228.25,NORMAL,7.13,488.20,2.26,924.98,23.95,1419,176,1.24,4.87,RUIM
4.00,SENSOR_006,-23.440000,-46.540000,244.53,NORMAL,6.84,350.79,1.95,514.15,21.91,1289,1011,0.25,2.28,RUIM
4.00,SENSOR_007,-23.430000,-46.530000,248.32,NORMAL,6.82,446.18,1.75,480.37,32.30,623,854,1.27,2.76,RUIM
5.00,SENSOR_000,-23.500000,-46.600000,132.47,NORMAL,8.15,579.36,3.87,829.21,24.94,1277,620,1.71,0.85,RUIM
5.00,SENSOR_001,-23.490000,-46.590000,131.07,NORMAL,6.55,274.37,4.01,991.95,23.95,1569,866,0.40,2.80,RUIM
5.00,SENSOR_002,-23.480000,-46.580000,150.15,NORMAL,8.04,489.67,3.97,760.16,31.19,1864,987,0.12,3.00,MODERADA
5.00,SENSOR_003,-23.470000,-46.570000,176.52,NORMAL,8.12,442.02,2.08,492.62,25.08,1558,824,0.62,3.63,MODERADA
5.00,SENSOR_004,-23.460000,-46.560000,193.15,NORMAL,6.92,460.50,2.72,256.88,19.61,857,310,1.30,2.60,MODERADA
5.00,SENSOR_005,-23.450000,-46.550000,223.09,NORMAL,6.96,533.97,2.11,105.34,30.02,1979,958,1.45,3.78,RUIM
5.00,SENSOR_006,-23.440000,-46.540000,227.83,NORMAL,6.58,360.84,1.04,849.00,29.39,1529,236,0.03,2.46,RUIM
5.00,SENSOR_007,-23.430000,-46.530000,233.73,NORMAL,8.00,489.62,2.32,665.97,25.43,2114,558,1.80,1.89,RUIM
6.00,SENSOR_000,-23.500000,-46.600000,115.21,NORMAL,7.10,399.17,4.83,191.48,21.73,796,139,1.00,1.42,BOA
6.00,SENSOR_001,-23.490000,-46.590000,435.50,VAZAMENTO,6.93,481.41,2.15,458.29,25.88,583,371,1.27,4.30,RUIM
6.00,SENSOR_002,-23.480000,-46.580000,163.42,NORMAL,6.60,298.87,1.03,916.00,18.40,1329,399,0.54,2.64,RUIM
6.00,SENSOR_003,-23.470000,-46.570000,189.67,NORMAL,7.72,240.20,1.79,640.13,20.24,1141,766,1.07,1.48,RUIM
6.00,SENSOR_004,-23.460000,-46.560000,190.13,NORMAL,8.30,277.43,3.54,401.85,28.30,1680,509,0.59,1.18,MODERADA
6.00,SENSOR_005,-23.450000,-46.550000,203.88,NORMAL,7.62,378.31,1.47,552.36,18.11,2010,149,1.07,0.58,RUIM
6.00,SENSOR_006,-23.440000,-46.540000,216.88,NORMAL,7.47,273.31,1.14,789.11,30.97,2199,871,2.00,4.44,RUIM
6.00,SENSOR_007,-23.430000,-46.530000,251.71,NORMAL,8.18,283.06,1.64,752.25,27.54,1508,765,1.37,4.58,RUIM
7.00,SENSOR_000,-23.500000,-46.600000,131.85,NORMAL,7.53,229.89,1.10,970.22,31.51,1614,204,1.47,1.50,RUIM
7.00,SENSOR_001,-23.490000,-46.590000,132.40,NORMAL,8.41,232.53,1.79,557.25,19.57,648,259,0.64,1.64,RUIM
7.00,SENSOR_002,-23.480000,-46.580000,152.70,NORMAL,7.20,564.93,1.34,799.10,31.92,2228,734,1.15,1.16,RUIM
7.00,SENSOR_003,-23.470000,-46.570000,177.48,NORMAL,6.76,403.77,2.62,793.56,18.93,1945,705,0.62,2.55,MODERADA
7.00,SENSOR_004,-23.460000,-46.560000,196.70,NORMAL,7.55,580.30,2.43,211.01,24.05,1665,678,1.06,1.15,RUIM
7.00,SENSOR_005,-23.450000,-46.550000,222.13,NORMAL,7.21,272.71,2.53,295.80,24.25,2322,570,0.10,1.10,RUIM
7.00,SENSOR_006,-23.440000,-46.540000,221.40,NORMAL,6.91,206.95,1.34,945.84,19.15,720,637,0.21,3.12,RUIM
7.00,SENSOR_007,-23.430000,-46.530000,244.47,NORMAL,8.18,250.69,3.17,396.69,21.88,1096,1026,1.25,2.23,MODERADA
8.00,SENSOR_000,-23.500000,-46.600000,132.67,NORMAL,8.04,510.68,3.52,465.80,24.16,917,1061,0.77,2.01,RUIM
8.00,SENSOR_001,-23.490000,-46.590000,155.68,NORMAL,6.74,277.03,4.42,834.22,20.65,777,530,1.70,4.05,RUIM
8.00,SENSOR_002,-23.480000,-46.580000,160.25,NORMAL,8.09,240.21,3.47,570.04,25.99,1808,596,1.31,1.81,MODERADA
8.00,SENSOR_003,-23.470000,-46.570000,181.90,NORMAL,7.87,587.82,4.36,763.30,19.47,1784,954,0.12,4.90,RUIM
8.00,SENSOR_004,-23.460000,-46.560000,205.84,NORMAL,7.51,256.44,3.73,990.28,24.52,1284,915,1.97,2.60,RUIM
8.00,SENSOR_005,-23.450000,-46.550000,200.93,NORMAL,8.43,413.40,3.75,670.18,18.67,729,624,0.53,3.01,MODERADA
8.00,SENSOR_006,-23.440000,-46.540000,243.03,NORMAL,7.46,519.33,2.09,748.22,30.16,2363,761,1.72,2.92,RUIM
8.00,SENSOR_007,-23.430000,-46.530000,234.68,NORMAL,7.50,497.04,1.17,219.49,21.70,1153,358,1.65,3.17,RUIM
9.00,SENSOR_000,-23.500000,-46.600000,127.22,NORMAL,6.70,423.21,3.09,244.00,18.48,884,356,1.14,2.06,MODERADA
9.00,SENSOR_001,-23.490000,-46.590000,137.42,NORMAL,7.42,319.18,4.43,211.20,18.52,2201,710,0.75,1.80,RUIM
9.00,SENSOR_002,-23.480000,-46.580000,146.70,NORMAL,6.63,379.36,1.59,522.30,24.89,1174,382,0.51,2.00,RUIM
9.00,SENSOR_003,-23.470000,-46.570000,171.87,NORMAL,7.86,567.33,4.63,944.85,20.78,1449,479,0.56,3.01,RUIM
9.00,SENSOR_004,-23.460000,-46.560000,206.66,NORMAL,7.74,380.39,3.67,132.23,18.69,557,1039,1.39,2.39,MODERADA
9.00,SENSOR_005,-23.450000,-46.550000,220.91,NORMAL,7.48,594.51,1.35,640.59,24.89,1769,640,0.00,2.82,RUIM
9.00,SENSOR_006,-23.440000,-46.540000,229.14,NORMAL,6.92,498.43,4.48,657.27,28.17,2049,524,1.66,2.22,RUIM
9.00,SENSOR_007,-23.430000,-46.530000,244.16,NORMAL,6.69,207.70,2.06,898.03,18.70,685,872,1.54,1.81,RUIM
10.00,SENSOR_000,-23.500000,-46.600000,133.40,NORMAL,7.12,540.19,4.66,722.54,27.49,1080,1009,0.23,4.75,RUIM
10.00,SENSOR_001,-23.490000,-46.590000,152.37,NORMAL,7.58,442.57,4.36,406.80,25.61,1237,242,0.22,3.45,MODERADA
10.00,SENSOR_002,-23.480000,-46.580000,160.65,NORMAL,7.43,598.06,1.20,387.98,18.28,590,1088,0.60,3.84,RUIM
10.00,SENSOR_003,-23.470000,-46.570000,45.00,ENTUPIMENTO,7.99,439.58,1.39,467.68,20.76,891,242,1.29,3.45,RUIM
10.00,SENSOR_004,-23.460000,-46.560000,209.93,NORMAL,6.53,313.92,2.96,69.69,18.54,1808,1057,0.04,3.75,MODERADA
10.00,SENSOR_005,-23.450000,-46.550000,222.60,NORMAL,6.94,317.56,3.05,837.76,20.15,2443,276,1.00,0.55,RUIM
10.00,SENSOR_006,-23.440000,-46.540000,218.78,NORMAL,8.34,321.82,5.00,857.13,26.81,1444,327,0.08,2.65,RUIM
10.00,SENSOR_007,-23.430000,-46.530000,260.52,NORMAL,6.57,286.21,2.35,677.71,19.07,1901,683,1.06,3.35,MODERADA
11.00,SENSOR_000,-23.500000,-46.600000,133.19,NORMAL,8.46,411.67,2.00,529.06,19.50,1194,904,1.58,1.37,RUIM
11.00,SENSOR_001,-23.490000,-46.590000,146.02,NORMAL,7.70,310.58,1.88,466.74,28.32,837,972,0.89,1.98,RUIM
11.00,SENSOR_002,-23.480000,-46.580000,158.05,NORMAL,7.40,314.81,1.32,134.86,30.24,1738,591,1.78,1.72,RUIM
11.00,SENSOR_003,-23.470000,-46.570000,181.01,NORMAL,8.47,408.40,4.46,513.80,21.65,1879,900,0.71,4.63,RUIM
11.00,SENSOR_004,-23.460000,-46.560000,184.34,NORMAL,7.22,418.37,1.36,535.96,18.86,1089,655,1.88,2.22,RUIM
11.00,SENSOR_005,-23.450000,-46.550000,201.51,NORMAL,6.66,539.76,3.38,233.48,22.67,937,711,0.24,1.39,RUIM
11.00,SENSOR_006,-23.440000,-46.540000,231.00,NORMAL,7.43,241.85,3.45,874.85,20.13,1802,391,0.84,4.72,RUIM
11.00,SENSOR_007,-23.430000,-46.530000,255.08,NORMAL,8.29,277.11,3.17,225.31,22.97,1418,789,0.43,0.80,MODERADA
12.00,SENSOR_000,-23.500000,-46.600000,130.63,NORMAL,8.17,349.88,2.55,834.08,22.22,2378,694,0.97,1.28,RUIM
12.00,SENSOR_001,-23.490000,-46.590000,135.26,NORMAL,8.50,417.53,4.28,248.61,29.02,1576,1019,1.06,3.89,MODERADA
12.00,SENSOR_002,-23.480000,-46.580000,169.84,NORMAL,6.64,364.47,3.23,340.24,28.13,878,527,0.67,0.99,BOA
12.00,SENSOR_003,-23.470000,-46.570000,170.98,NORMAL,6.68,434.19,4.25,349.83,24.02,1390,701,0.56,1.92,MODERADA
12.00,SENSOR_004,-23.460000,-46.560000,199.02,NORMAL,6.71,246.71,3.22,118.48,27.59,1440,419,0.58,0.53,MODERADA
12.00,SENSOR_005,-23.450000,-46.550000,203.95,NORMAL,6.89,263.76,3.03,750.99,31.29,1482,498,0.30,3.63,MODERADA
12.00,SENSOR_006,-23.440000,-46.540000,220.55,NORMAL,8.13,263.21,2.51,451.60,27.45,901,692,1.63,3.71,RUIM
12.00,SENSOR_007,-23.430000,-46.530000,263.04,NORMAL,7.07,306.98,2.63,618.45,28.49,1084,291,0.91,4.57,RUIM
13.00,SENSOR_000,-23.500000,-46.600000,33.89,ENTUPIMENTO,6.75,438.07,3.01,373.41,20.10,2154,399,1.33,0.66,RUIM
13.00,SENSOR_001,-23.490000,-46.590000,140.69,NORMAL,7.58,235.75,2.18,242.03,28.66,808,233,1.89,4.61,RUIM
13.00,SENSOR_002,-23.480000,-46.580000,166.33,NORMAL,7.60,429.57,2.69,580.45,24.09,542,865,1.08,1.33,MODERADA
13.00,SENSOR_003,-23.470000,-46.570000,168.35,NORMAL,7.02,490.37,1.70,320.10,30.00,1483,249,0.73,3.69,RUIM
13.00,SENSOR_004,-23.460000,-46.560000,208.37,NORMAL,6.84,208.53,4.31,957.54,29.42,1196,770,1.15,0.78,RUIM
13.00,SENSOR_005,-23.450000,-46.550000,223.81,NORMAL,8.15,400.80,1.77,369.07,25.39,655,331,1.82,1.55,RUIM
13.00,SENSOR_006,-23.440000,-46.540000,219.04,NORMAL,6.79,398.06,1.39,766.30,25.53,692,637,0.09,2.90,RUIM
13.00,SENSOR_007,-23.430000,-46.530000,261.57,NORMAL,7.14,554.83,2.98,628.43,30.87,1272,855,0.89,3.87,RUIM
14.00,SENSOR_000,-23.500000,-46.600000,130.83,NORMAL,8.42,327.93,2.87,783.40,26.75,2264,246,0.29,0.97,RUIM
14.00,SENSOR_001,-23.490000,-46.590000,129.41,NORMAL,7.28,336.97,1.34,366.80,25.32,801,1028,0.39,2.05,RUIM
14.00,SENSOR_002,-23.480000,-46.580000,172.51,NORMAL,7.11,492.97,1.05,471.70,23.14,1070,248,0.94,1.36,RUIM
14.00,SENSOR_003,-23.470000,-46.570000,167.15,NORMAL,7.42,300.03,2.44,134.01,27.21,553,486,0.82,4.22,RUIM
14.00,SENSOR_004,-23.460000,-46.560000,206.08,NORMAL,7.48,534.63,4.94,398.19,30.61,1549,1074,0.32,0.97,RUIM
14.00,SENSOR_005,-23.450000,-46.550000,198.86,NORMAL,8.37,471.07,3.76,414.16,32.73,792,138,0.19,1.43,MODERADA
14.00,SENSOR_006,-23.440000,-46.540000,224.58,NORMAL,6.92,232.95,2.42,813.48,30.34,955,359,1.72,3.86,RUIM
14.00,SENSOR_007,-23.430000,-46.530000,255.45,NORMAL,8.24,564.83,3.62,70.05,23.45,2398,451,1.38,0.51,RUIM
15.00,SENSOR_000,-23.500000,-46.600000,124.08,NORMAL,8.49,505.41,4.04,597.56,27.60,509,544,0.58,2.67,RUIM
15.00,SENSOR_001,-23.490000,-46.590000,144.97,NORMAL,6.64,297.37,2.80,141.85,28.86,1667,1058,1.53,2.42,RUIM
15.00,SENSOR_002,-23.480000,-46.580000,171.07,NORMAL,8.02,293.32,4.48,332.38,28.29,2028,903,0.99,4.45,RUIM
15.00,SENSOR_003,-23.470000,-46.570000,169.87,NORMAL,7.37,275.94,4.49,891.15,32.65,1881,178,1.35,0.55,RUIM
15.00,SENSOR_004,-23.460000,-46.560000,202.99,NORMAL,6.71,518.18,1.43,978.44,27.93,807,918,1.06,4.19,RUIM
15.00,SENSOR_005,-23.450000,-46.550000,203.94,NORMAL,7.00,423.91,3.87,997.72,25.36,1790,878,1.89,2.14,RUIM
15.00,SENSOR_006,-23.440000,-46.540000,220.50,NORMAL,6.86,267.81,2.10,459.13,29.60,1117,179,1.86,2.37,RUIM
15.00,SENSOR_007,-23.430000,-46.530000,248.30,NORMAL,6.87,390.19,3.57,98.89,19.39,1757,295,0.86,2.43,MODERADA
16.00,SENSOR_000,-23.500000,-46.600000,133.87,NORMAL,8.00,204.89,4.76,488.80,21.10,1080,976,1.32,2.26,MODERADA
16.00,SENSOR_001,-23.490000,-46.590000,145.63,NORMAL,8.33,465.26,4.07,480.54,24.65,2465,665,1.06,0.51,RUIM
16.00,SENSOR_002,-23.480000,-46.580000,167.24,NORMAL,6.65,475.46,4.04,695.57,23.72,802,550,0.01,0.90,MODERADA
16.00,SENSOR_003,-23.470000,-46.570000,171.05,NORMAL,7.07,225.27,2.20,329.01,30.62,1461,1063,0.89,1.95,MODERADA
16.00,SENSOR_004,-23.460000,-46.560000,192.82,NORMAL,8.40,448.17,4.65,634.17,27.00,2195,765,1.26,3.31,RUIM
16.00,SENSOR_005,-23.450000,-46.550000,198.85,NORMAL,7.31,465.02,4.91,691.64,29.30,2207,450,1.74,1.87,RUIM
16.00,SENSOR_006,-23.440000,-46.540000,226.77,NORMAL,8.34,370.93,4.16,161.24,24.05,610,467,0.07,4.39,RUIM
16.00,SENSOR_007,-23.430000,-46.530000,236.06,NORMAL,7.31,440.26,4.30,230.53,24.75,1534,535,0.81,0.51,MODERADA
17.00,SENSOR_000,-23.500000,-46.600000,111.31,NORMAL,6.87,344.64,3.84,304.05,29.05,613,307,0.63,2.20,BOA
17.00,SENSOR_001,-23.490000,-46.590000,150.42,NORMAL,7.32,271.96,2.68,684.79,18.37,2362,728,1.52,3.53,RUIM
17.00,SENSOR_002,-23.480000,-46.580000,154.16,NORMAL,7.14,354.93,2.64,173.10,29.09,2291,573,1.28,0.87,RUIM
17.00,SENSOR_003,-23.470000,-46.570000,176.43,NORMAL,8.32,487.15,2.64,555.21,30.14,2394,486,1.66,3.06,RUIM
17.00,SENSOR_004,-23.460000,-46.560000,203.92,NORMAL,7.11,464.12,2.81,900.23,28.29,513,1051,0.25,0.65,RUIM
17.00,SENSOR_005,-23.450000,-46.550000,211.62,NORMAL,7.75,572.39,2.26,127.24,27.52,1191,688,0.87,2.79,RUIM
17.00,SENSOR_006,-23.440000,-46.540000,629.63,VAZAMENTO,6.78,384.92,3.24,203.89,18.78,2137,983,1.69,4.20,RUIM
17.00,SENSOR_007,-23.430000,-46.530000,245.09,NORMAL,6.76,405.04,2.01,866.23,21.40,1290,163,1.90,1.43,RUIM
18.00,SENSOR_000,-23.500000,-46.600000,135.76,NORMAL,8.39,504.31,2.60,780.59,19.27,1739,664,0.02,2.73,RUIM
18.00,SENSOR_001,-23.490000,-46.590000,133.69,NORMAL,6.99,584.06,4.45,414.36,19.52,2010,694,1.61,1.83,RUIM
18.00,SENSOR_002,-23.480000,-46.580000,156.67,NORMAL,7.86,548.09,3.69,381.24,30.49,2329,876,0.27,2.37,RUIM
18.00,SENSOR_003,-23.470000,-46.570000,164.18,NORMAL,6.68,316.29,1.46,572.71,20.22,1261,793,0.66,3.76,RUIM
18.00,SENSOR_004,-23.460000,-46.560000,52.04,ENTUPIMENTO,8.44,317.08,2.25,526.32,30.13,895,165,0.24,2.82,MODERADA
18.00,SENSOR_005,-23.450000,-46.550000,214.48,NORMAL,6.52,349.11,3.40,916.78,23.19,1632,532,1.97,3.21,RUIM
18.00,SENSOR_006,-23.440000,-46.540000,226.68,NORMAL,6.53,383.40,1.58,396.15,23.06,1425,192,1.36,3.48,RUIM
18.00,SENSOR_007,-23.430000,-46.530000,237.62,NORMAL,6.71,380.19,1.53,564.39,23.31,1808,272,1.40,1.34,RUIM
19.00,SENSOR_000,-23.500000,-46.600000,30.31,ENTUPIMENTO,7.17,390.34,2.82,308.26,21.01,2496,176,1.87,3.69,RUIM
19.00,SENSOR_001,-23.490000,-46.590000,136.42,NORMAL,7.01,322.40,4.06,288.85,18.37,2194,137,0.17,1.40,RUIM
19.00,SENSOR_002,-23.480000,-46.580000,157.75,NORMAL,6.63,338.67,1.54,970.11,19.82,1585,714,0.40,1.68,RUIM
19.00,SENSOR_003,-23.470000,-46.570000,494.21,VAZAMENTO,7.66,282.97,2.17,711.73,22.71,1877,836,1.90,3.80,RUIM
19.00,SENSOR_004,-23.460000,-46.560000,204.96,NORMAL,6.61,364.56,1.77,222.54,31.34,1785,1042,0.04,0.56,RUIM
19.00,SENSOR_005,-23.450000,-46.550000,200.92,NORMAL,6.54,251.19,2.57,607.73,29.55,2408,746,0.71,2.17,RUIM
19.00,SENSOR_006,-23.440000,-46.540000,221.75,NORMAL,7.20,485.90,3.55,144.85,26.45,687,945,1.27,1.35,MODERADA
19.00,SENSOR_007,-23.430000,-46.530000,246.76,NORMAL,6.82,349.13,3.74,728.92,20.38,531,595,0.28,2.96,MODERADA
20.00,SENSOR_000,-23.500000,-46.600000,116.10,NORMAL,8.46,587.07,1.07,990.66,31.63,2059,433,1.62,1.10,RUIM
20.00,SENSOR_001,-23.490000,-46.590000,150.17,NORMAL,7.22,463.14,4.98,514.79,29.95,630,632,1.15,2.58,MODERADA
20.00,SENSOR_002,-23.480000,-46.580000,148.68,NORMAL,8.28,251.66,4.90,548.79,20.81,1544,419,1.74,3.09,RUIM
20.00,SENSOR_003,-23.470000,-46.570000,177.08,NORMAL,7.28,372.86,3.47,543.57,24.94,1148,678,1.25,1.91,MODERADA
20.00,SENSOR_004,-23.460000,-46.560000,183.57,NORMAL,7.49,571.03,2.98,838.18,32.08,2395,858,0.72,3.07,RUIM
20.00,SENSOR_005,-23.450000,-46.550000,212.10,NORMAL,8.20,421.86,2.38,240.67,30.40,1337,311,0.16,2.59,MODERADA
20.00,SENSOR_006,-23.440000,-46.540000,235.35,NORMAL,8.25,553.29,3.78,494.06,28.73,1321,364,0.85,4.32,RUIM
