tempo_min,sensorId,latitude,longitude,vazao,status,pH,DQO,OD,turbidez,temperatura,coliformes,ecoli,H2S,amonia,qualidade
0.13,Renascenca,-2.503800,-44.256200,141.23,NORMAL,6.94,367.43,2.71,873.10,25.63,2010,108,1.99,2.69,RUIM
0.13,Turu,-2.537900,-44.247400,156.95,NORMAL,6.50,485.55,4.13,863.12,21.77,1572,173,0.42,2.71,RUIM
0.13,Sao_Cristovao,-2.495400,-44.265200,191.97,NORMAL,8.02,279.87,4.76,232.87,20.58,1047,530,1.45,2.55,MODERADA
0.13,Anil,-2.522700,-44.254900,196.00,NORMAL,7.81,587.17,1.29,929.79,23.08,2378,893,0.77,0.50,RUIM
0.13,Vinhais,-2.570000,-44.296600,215.33,NORMAL,7.63,446.69,4.99,456.97,25.04,1626,515,0.11,1.67,MODERADA
0.13,Bequimao,-2.558900,-44.248400,233.30,NORMAL,7.42,302.72,2.66,483.10,22.72,1314,851,1.70,2.83,RUIM
0.13,Cohama,-2.487700,-44.228700,241.88,NORMAL,7.71,473.10,3.71,566.30,22.48,1203,172,1.23,4.84,RUIM
0.17,Centro,-2.515000,-44.290600,111.20,NORMAL,7.94,222.26,1.98,645.11,19.25,2370,598,1.57,4.21,RUIM
0.17,Renascenca,-2.503800,-44.256200,155.90,NORMAL,6.54,367.59,4.56,698.92,30.99,1595,391,1.85,4.80,RUIM
0.17,Turu,-2.537900,-44.247400,168.54,NORMAL,7.50,460.38,2.39,917.06,23.07,1013,345,0.92,2.85,RUIM
0.17,Sao_Cristovao,-2.495400,-44.265200,164.03,NORMAL,7.04,428.59,3.05,916.05,32.89,1525,559,1.44,1.91,RUIM
0.17,Anil,-2.522700,-44.254900,208.08,NORMAL,7.43,550.29,4.23,450.14,23.79,587,492,1.31,2.22,RUIM
0.17,Vinhais,-2.570000,-44.296600,218.71,NORMAL,8.10,319.89,4.94,680.65,32.23,1718,187,1.03,3.75,MODERADA
0.17,Bequimao,-2.558900,-44.248400,242.29,NORMAL,7.07,267.96,3.00,181.53,25.07,535,632,1.51,0.81,RUIM
0.17,Cohama,-2.487700,-44.228700,245.39,NORMAL,7.33,336.91,4.82,980.76,32.59,2382,115,0.19,1.31,RUIM
0.20,Centro,-2.515000,-44.290600,114.20,NORMAL,6.59,467.37,1.60,792.00,20.50,1341,771,1.99,2.90,RUIM
0.20,Renascenca,-2.503800,-44.256200,34.48,ENTUPIMENTO,7.69,263.34,1.76,227.82,32.62,2308,495,1.84,4.13,RUIM
0.20,Turu,-2.537900,-44.247400,163.10,NORMAL,7.22,277.42,4.14,795.98,23.87,2049,852,1.56,1.93,RUIM
0.20,Sao_Cristovao,-2.495400,-44.265200,166.17,NORMAL,7.39,436.11,2.70,227.84,21.34,2171,192,0.86,0.79,RUIM
0.20,Anil,-2.522700,-44.254900,189.93,NORMAL,6.96,575.66,1.41,157.52,31.89,711,971,1.01,1.34,RUIM
0.20,Vinhais,-2.570000,-44.296600,215.22,NORMAL,6.51,412.16,2.76,175.86,29.31,2059,548,1.24,4.30,RUIM
0.20,Bequimao,-2.558900,-44.248400,225.39,NORMAL,6.99,397.58,1.40,191.64,26.35,1554,380,1.50,4.29,RUIM
0.20,Cohama,-2.487700,-44.228700,239.93,NORMAL,7.88,589.38,3.05,705.07,26.97,2289,264,1.74,1.89,RUIM
0.23,Centro,-2.515000,-44.290600,125.86,NORMAL,7.21,228.73,1.37,568.49,25.46,988,415,1.77,4.41,RUIM
0.23,Renascenca,-2.503800,-44.256200,140.33,NORMAL,8.27,580.28,3.50,207.68,30.58,2339,865,0.69,1.68,RUIM
0.23,Turu,-2.537900,-44.247400,173.43,NORMAL,6.54,455.93,1.78,973.36,27.56,1006,287,1.02,1.15,RUIM
0.23,Sao_Cristovao,-2.495400,-44.265200,176.80,NORMAL,6.71,359.64,4.35,781.92,30.98,1326,578,0.19,1.40,MODERADA
0.23,Anil,-2.522700,-44.254900,194.85,NORMAL,8.43,483.84,4.86,660.21,23.15,2420,1030,1.69,3.93,RUIM
0.23,Vinhais,-2.570000,-44.296600,227.57,NORMAL,7.51,308.56,4.30,233.32,30.48,818,349,1.42,3.89,MODERADA
0.23,Bequimao,-2.558900,-44.248400,58.27,ENTUPIMENTO,7.97,250.73,2.84,86.75,23.34,639,791,1.78,2.01,RUIM
0.23,Cohama,-2.487700,-44.228700,244.85,NORMAL,7.33,200.26,4.45,351.86,23.60,1915,305,1.65,4.08,RUIM
0.27,Centro,-2.515000,-44.290600,128.16,NORMAL,7.08,524.17,4.91,967.30,25.93,2253,811,1.97,3.61,RUIM
0.27,Renascenca,-2.503800,-44.256200,136.68,NORMAL,6.58,504.58,4.87,757.02,24.59,717,398,0.42,1.88,RUIM
0.27,Turu,-2.537900,-44.247400,155.96,NORMAL,7.53,493.29,1.70,502.09,30.47,1493,712,1.56,4.54,RUIM
0.27,Sao_Cristovao,-2.495400,-44.265200,176.49,NORMAL,8.19,383.95,4.68,591.69,18.05,591,894,0.58,4.36,RUIM
0.27,Anil,-2.522700,-44.254900,183.57,NORMAL,7.44,371.64,3.54,755.48,21.94,2327,513,1.64,1.42,RUIM
0.27,Vinhais,-2.570000,-44.296600,222.50,NORMAL,6.55,478.80,3.87,360.41,25.13,1480,135,1.07,4.94,RUIM
0.27,Bequimao,-2.558900,-44.248400,223.42,NORMAL,7.86,473.38,2.56,615.12,27.33,1767,427,0.22,2.91,MODERADA
0.27,Cohama,-2.487700,-44.228700,250.79,NORMAL,6.80,323.68,4.88,230.57,21.17,1163,390,1.00,3.56,MODERADA
0.30,Centro,-2.515000,-44.290600,121.83,NORMAL,7.73,256.52,3.17,500.82,19.90,1279,291,0.34,2.96,MODERADA
0.30,Renascenca,-2.503800,-44.256200,146.52,NORMAL,7.99,446.86,1.18,194.94,32.90,1070,863,1.65,4.59,RUIM
0.30,Turu,-2.537900,-44.247400,170.06,NORMAL,6.73,351.44,1.30,531.37,30.69,2497,1024,1.15,4.37,RUIM
0.30,Sao_Cristovao,-2.495400,-44.265200,171.70,NORMAL,7.50,373.64,2.91,726.25,24.81,717,107,1.80,3.46,RUIM
0.30,Anil,-2.522700,-44.254900,192.40,NORMAL,7.65,447.94,1.64,731.14,29.54,1874,653,1.04,3.29,RUIM
0.30,Vinhais,-2.570000,-44.296600,222.96,NORMAL,7.61,363.05,4.12,890.45,32.49,1479,485,1.54,4.33,RUIM
0.30,Bequimao,-2.558900,-44.248400,230.09,NORMAL,6.86,410.55,1.86,340.82,21.45,1946,561,0.92,3.52,RUIM
0.30,Cohama,-2.487700,-44.228700,245.22,NORMAL,7.88,274.16,4.00,864.98,23.72,1395,687,1.51,3.40,RUIM
0.33,Centro,-2.515000,-44.290600,117.45,NORMAL,7.31,501.35,1.91,101.40,32.71,1653,524,1.20,3.70,RUIM
0.33,Renascenca,-2.503800,-44.256200,33.46,ENTUPIMENTO,8.29,363.05,3.37,228.86,24.39,2438,1019,1.57,3.07,RUIM
0.33,Turu,-2.537900,-44.247400,152.89,NORMAL,6.79,481.11,4.01,389.98,20.63,992,445,2.00,1.92,RUIM
0.33,Sao_Cristovao,-2.495400,-44.265200,183.93,NORMAL,7.62,324.39,3.55,808.80,25.04,1652,262,0.63,2.96,RUIM
0.33,Anil,-2.522700,-44.254900,541.42,VAZAMENTO,8.45,441.92,4.19,254.41,23.53,2071,928,1.05,3.19,RUIM
0.33,Vinhais,-2.570000,-44.296600,207.65,NORMAL,6.77,398.66,2.07,683.78,27.18,859,893,0.28,3.45,MODERADA
0.33,Bequimao,-2.558900,-44.248400,239.71,NORMAL,6.71,495.99,3.79,203.14,18.26,619,816,1.58,0.81,RUIM
0.33,Cohama,-2.487700,-44.228700,246.22,NORMAL,7.39,373.70,1.10,734.90,29.84,784,291,1.17,2.72,RUIM
0.37,Centro,-2.515000,-44.290600,111.40,NORMAL,8.37,220.18,1.95,216.07,29.93,1879,269,1.94,3.14,RUIM
0.37,Renascenca,-2.503800,-44.256200,136.33,NORMAL,6.98,250.13,3.75,661.37,26.66,2151,953,1.20,4.99,RUIM
0.37,Turu,-2.537900,-44.247400,154.80,NORMAL,7.19,584.43,4.28,123.87,19.35,1264,1070,1.16,0.87,RUIM
0.37,Sao_Cristovao,-2.495400,-44.265200,169.36,NORMAL,7.39,288.02,3.39,850.49,32.06,564,764,0.40,3.09,RUIM
0.37,Anil,-2.522700,-44.254900,196.64,NORMAL,7.19,323.56,1.24,851.28,21.07,2091,258,1.47,4.33,RUIM
0.37,Vinhais,-2.570000,-44.296600,198.81,NORMAL,7.57,433.54,1.18,631.54,22.37,1156,142,0.14,1.85,RUIM
0.37,Bequimao,-2.558900,-44.248400,245.64,NORMAL,7.59,330.62,4.21,459.45,26.23,751,609,1.48,4.12,RUIM
0.37,Cohama,-2.487700,-44.228700,246.18,NORMAL,6.78,467.27,3.12,398.25,26.39,2145,720,1.46,4.90,RUIM
0.40,Centro,-2.515000,-44.290600,118.31,NORMAL,6.86,464.45,4.35,886.88,29.75,932,398,0.07,4.87,RUIM
0.40,Renascenca,-2.503800,-44.256200,139.51,NORMAL,8.48,367.69,4.35,999.80,21.12,1157,743,0.43,0.63,RUIM
0.40,Turu,-2.537900,-44.247400,150.36,NORMAL,6.95,260.51,2.50,995.40,22.06,2118,1014,0.95,0.88,RUIM
0.40,Sao_Cristovao,-2.495400,-44.265200,172.89,NORMAL,6.90,259.10,4.47,964.47,29.99,532,943,1.45,3.64,RUIM
0.40,Anil,-2.522700,-44.254900,206.80,NORMAL,7.93,464.03,2.20,111.83,32.52,1869,478,0.01,1.75,MODERADA
0.40,Vinhais,-2.570000,-44.296600,50.62,ENTUPIMENTO,7.43,307.53,1.11,339.35,22.35,806,342,1.20,3.38,RUIM
0.40,Bequimao,-2.558900,-44.248400,222.16,NORMAL,8.42,283.74,3.40,788.76,32.03,2002,160,0.56,0.77,RUIM
0.40,Cohama,-2.487700,-44.228700,241.98,NORMAL,7.31,290.83,1.14,862.56,21.59,1187,843,1.83,3.33,RUIM
0.43,Centro,-2.515000,-44.290600,112.64,NORMAL,7.54,591.15,4.51,75.99,30.17,1611,928,0.47,3.67,RUIM
0.43,Renascenca,-2.503800,-44.256200,129.65,NORMAL,6.59,415.50,1.11,109.54,27.41,2062,1018,1.61,4.03,RUIM
0.43,Turu,-2.537900,-44.247400,172.64,NORMAL,8.36,395.13,1.37,793.87,19.53,2050,236,0.16,2.04,RUIM
0.43,Sao_Cristovao,-2.495400,-44.265200,168.01,NORMAL,6.75,296.50,1.94,135.95,32.99,593,325,1.38,4.18,RUIM
0.43,Anil,-2.522700,-44.254900,193.30,NORMAL,8.30,584.36,3.12,271.10,23.45,1141,600,1.49,3.01,RUIM
0.43,Vinhais,-2.570000,-44.296600,208.23,NORMAL,8.40,546.26,4.87,297.66,24.80,1129,490,1.22,1.08,RUIM
0.43,Bequimao,-2.558900,-44.248400,218.24,NORMAL,7.44,545.37,2.63,739.69,28.72,1517,925,1.96,3.88,RUIM
0.43,Cohama,-2.487700,-44.228700,263.30,NORMAL,7.74,387.04,2.01,782.91,29.44,2280,679,0.10,2.83,RUIM
0.47,Centro,-2.515000,-44.290600,116.30,NORMAL,6.57,568.22,4.32,795.28,31.79,1554,545,1.90,4.72,RUIM
0.47,Renascenca,-2.503800,-44.256200,155.70,NORMAL,8.19,259.17,2.42,683.84,26.44,1358,112,0.78,3.65,MODERADA
0.47,Turu,-2.537900,-44.247400,148.67,NORMAL,7.18,566.33,4.84,644.99,32.09,2194,855,1.70,1.34,RUIM
0.47,Sao_Cristovao,-2.495400,-44.265200,171.19,NORMAL,7.29,287.48,1.15,292.72,31.84,1266,823,1.92,2.59,RUIM
0.47,Anil,-2.522700,-44.254900,209.53,NORMAL,6.70,403.60,2.26,414.64,28.28,1193,372,1.72,0.77,RUIM
0.47,Vinhais,-2.570000,-44.296600,225.91,NORMAL,8.49,464.01,1.14,881.89,29.91,1568,579,0.18,4.51,RUIM
0.47,Bequimao,-2.558900,-44.248400,236.86,NORMAL,8.17,332.83,3.35,250.57,29.79,1877,863,0.67,2.66,MODERADA
0.47,Cohama,-2.487700,-44.228700,239.90,NORMAL,7.72,241.74,3.67,158.89,20.52,2470,668,1.98,1.90,RUIM
0.50,Centro,-2.515000,-44.290600,29.89,ENTUPIMENTO,7.98,396.16,1.49,549.88,23.26,1182,572,1.83,2.34,RUIM
0.50,Renascenca,-2.503800,-44.256200,156.95,NORMAL,7.54,282.57,4.97,604.23,19.81,968,134,0.51,1.40,MODERADA
0.50,Turu,-2.537900,-44.247400,173.67,NORMAL,6.97,318.41,2.96,773.82,19.80,1474,1020,0.27,4.43,RUIM
0.50,Sao_Cristovao,-2.495400,-44.265200,188.33,NORMAL,7.87,204.50,1.87,391.01,22.95,1003,509,0.12,4.15,RUIM
0.50,Anil,-2.522700,-44.254900,182.74,NORMAL,6.75,480.88,2.04,418.36,30.16,1708,114,0.80,4.21,RUIM
0.50,Vinhais,-2.570000,-44.296600,213.66,NORMAL,8.17,389.43,3.83,259.97,22.32,1148,344,0.70,1.25,MODERADA
0.50,Bequimao,-2.558900,-44.248400,222.92,NORMAL,7.29,500.02,4.06,483.15,21.38,1239,185,0.01,3.95,RUIM
0.50,Cohama,-2.487700,-44.228700,676.34,VAZAMENTO,7.61,259.92,1.55,365.08,23.41,1565,471,1.50,2.77,RUIM
0.53,Centro,-2.515000,-44.290600,32.14,ENTUPIMENTO,7.40,298.20,4.30,308.99,22.81,654,199,0.03,2.70,MODERADA
0.53,Renascenca,-2.503800,-44.256200,143.22,NORMAL,7.42,275.93,3.72,781.75,18.87,2500,955,1.53,2.17,RUIM
0.53,Turu,-2.537900,-44.247400,158.39,NORMAL,7.45,473.81,2.19,757.18,19.05,602,969,0.23,2.76,MODERADA
0.53,Sao_Cristovao,-2.495400,-44.265200,165.00,NORMAL,7.66,315.85,3.25,907.24,27.62,2406,1042,1.11,4.28,RUIM
0.53,Anil,-2.522700,-44.254900,207.36,NORMAL,6.59,409.74,4.79,337.09,28.28,658,596,1.17,1.56,MODERADA
0.53,Vinhais,-2.570000,-44.296600,208.87,NORMAL,8.25,543.02,2.84,930.85,26.62,1430,529,0.02,3.39,RUIM
0.53,Bequimao,-2.558900,-44.248400,231.54,NORMAL,7.02,365.71,4.82,679.99,28.21,2245,1040,0.59,1.26,RUIM
0.53,Cohama,-2.487700,-44.228700,247.47,NORMAL,6.94,276.13,4.95,406.25,27.18,1273,449,1.05,2.83,MODERADA
0.57,Centro,-2.515000,-44.290600,125.06,NORMAL,7.03,431.87,3.94,512.96,32.52,2381,596,0.02,2.93,RUIM
0.57,Renascenca,-2.503800,-44.256200,140.51,NORMAL,7.69,531.16,1.78,382.27,21.47,1174,872,1.21,0.99,RUIM
0.57,Turu,-2.537900,-44.247400,149.87,NORMAL,7.03,454.88,3.32,971.01,30.71,2121,836,1.46,4.63,RUIM
0.57,Sao_Cristovao,-2.495400,-44.265200,183.13,NORMAL,8.33,445.38,1.67,67.63,28.28,1384,1006,1.49,4.74,RUIM
0.57,Anil,-2.522700,-44.254900,199.12,NORMAL,7.22,330.24,4.36,136.80,22.76,808,350,0.62,4.71,RUIM
0.57,Vinhais,-2.570000,-44.296600,228.01,NORMAL,7.83,343.88,3.53,345.06,19.34,1293,426,0.46,3.69,MODERADA
0.57,Bequimao,-2.558900,-44.248400,217.33,NORMAL,8.10,462.72,2.60,806.77,27.78,1737,854,0.48,4.25,RUIM
0.57,Cohama,-2.487700,-44.228700,240.52,NORMAL,6.90,489.73,2.88,148.12,19.78,1044,291,0.28,2.72,MODERADA
0.60,Centro,-2.515000,-44.290600,120.69,NORMAL,6.81,372.78,1.82,437.32,25.18,661,837,0.27,3.29,RUIM
0.60,Renascenca,-2.503800,-44.256200,141.79,NORMAL,7.23,387.63,1.89,363.37,32.30,699,981,0.48,3.81,RUIM
0.60,Turu,-2.537900,-44.247400,172.36,NORMAL,7.32,552.13,3.36,235.61,19.66,1380,609,0.37,1.84,RUIM
0.60,Sao_Cristovao,-2.495400,-44.265200,173.79,NORMAL,6.82,276.18,2.95,65.18,26.94,2031,1079,0.98,1.70,RUIM
0.60,Anil,-2.522700,-44.254900,515.73,VAZAMENTO,7.89,359.25,2.90,438.99,26.85,511,538,0.80,0.74,MODERADA
0.60,Vinhais,-2.570000,-44.296600,214.15,NORMAL,7.75,231.56,4.57,417.45,32.75,1506,819,0.49,1.56,MODERADA
0.60,Bequimao,-2.558900,-44.248400,229.93,NORMAL,6.88,588.51,4.86,181.25,30.19,2051,310,1.80,4.57,RUIM
0.60,Cohama,-2.487700,-44.228700,242.64,NORMAL,6.64,595.56,4.54,252.51,30.76,2436,480,0.89,2.85,RUIM
0.63,Centro,-2.515000,-44.290600,121.36,NORMAL,6.89,237.68,2.33,769.37,23.19,1979,1088,0.71,4.80,RUIM
0.63,Renascenca,-2.503800,-44.256200,137.41,NORMAL,7.21,471.10,4.75,924.07,32.06,2446,761,0.47,0.64,RUIM
0.63,Turu,-2.537900,-44.247400,151.94,NORMAL,7.05,204.55,4.91,888.84,29.53,1960,316,1.22,1.95,RUIM
0.63,Sao_Cristovao,-2.495400,-44.265200,189.61,NORMAL,7.42,253.81,3.29,684.30,27.41,1158,669,1.20,2.35,MODERADA
0.63,Anil,-2.522700,-44.254900,186.91,NORMAL,8.05,405.95,3.86,677.83,18.83,2135,1039,1.96,4.32,RUIM
0.63,Vinhais,-2.570000,-44.296600,220.08,NORMAL,7.52,595.36,3.80,405.06,18.72,656,955,0.04,2.69,RUIM
0.63,Bequimao,-2.558900,-44.248400,233.91,NORMAL,6.55,311.46,2.27,965.65,30.20,1592,435,1.60,1.39,RUIM
0.63,Cohama,-2.487700,-44.228700,237.72,NORMAL,7.99,365.71,1.04,939.69,31.44,1672,685,0.94,1.49,RUIM
0.67,Centro,-2.515000,-44.290600,121.50,NORMAL,8.47,499.00,4.67,402.03,21.63,1634,491,1.54,4.79,RUIM
0.67,Renascenca,-2.503800,-44.256200,134.77,NORMAL,7.77,256.33,1.36,190.54,26.96,2390,516,0.48,2.14,RUIM
0.67,Turu,-2.537900,-44.247400,168.25,NORMAL,8.42,530.63,3.06,119.32,26.72,1889,114,0.53,3.66,RUIM
0.67,Sao_Cristovao,-2.495400,-44.265200,171.63,NORMAL,8.32,563.97,1.65,249.99,32.16,1317,274,1.11,1.16,RUIM
0.67,Anil,-2.522700,-44.254900,199.99,NORMAL,7.13,520.18,4.24,316.72,20.91,597,359,1.29,2.20,RUIM
0.67,Vinhais,-2.570000,-44.296600,216.40,NORMAL,7.26,521.07,4.85,647.58,29.12,1076,943,0.36,2.10,RUIM
0.67,Bequimao,-2.558900,-44.248400,224.46,NORMAL,6.98,425.81,4.24,952.54,23.73,518,779,1.85,3.59,RUIM
0.67,Cohama,-2.487700,-44.228700,247.63,NORMAL,7.09,561.40,1.93,237.37,22.63,1349,847,1.98,2.44,RUIM
0.70,Centro,-2.515000,-44.290600,119.01,NORMAL,8.21,460.62,2.73,220.54,28.04,2325,337,0.27,2.62,RUIM
0.70,Renascenca,-2.503800,-44.256200,150.84,NORMAL,8.26,387.34,2.79,519.97,24.73,2416,193,1.81,4.01,RUIM
0.70,Turu,-2.537900,-44.247400,174.40,NORMAL,7.05,301.26,1.19,859.72,26.08,1405,598,1.21,2.07,RUIM
0.70,Sao_Cristovao,-2.495400,-44.265200,180.51,NORMAL,6.50,461.57,1.65,127.38,28.77,2404,829,1.34,2.06,RUIM
0.70,Anil,-2.522700,-44.254900,189.62,NORMAL,8.01,435.37,3.42,822.88,28.53,904,707,1.51,0.73,RUIM
0.70,Vinhais,-2.570000,-44.296600,224.20,NORMAL,7.79,476.10,4.44,692.88,24.14,1617,360,1.01,1.49,MODERADA
0.70,Bequimao,-2.558900,-44.248400,218.73,NORMAL,6.72,389.57,1.83,399.26,26.06,1546,880,1.77,2.18,RUIM
0.70,Cohama,-2.487700,-44.228700,233.83,NORMAL,7.37,318.01,1.37,485.29,25.16,1953,646,0.49,2.06,RUIM
0.73,Centro,-2.515000,-44.290600,121.66,NORMAL,6.61,505.79,1.31,298.07,25.35,2219,999,1.40,3.08,RUIM
0.73,Renascenca,-2.503800,-44.256200,141.71,NORMAL,7.92,585.97,3.61,109.05,31.15,693,369,0.66,1.43,RUIM
0.73,Turu,-2.537900,-44.247400,148.88,NORMAL,6.83,487.91,4.29,743.65,23.63,1101,415,0.20,4.76,RUIM
0.73,Sao_Cristovao,-2.495400,-44.265200,165.01,NORMAL,6.95,314.57,1.05,449.71,21.12,916,1013,0.08,1.36,RUIM
0.73,Anil,-2.522700,-44.254900,204.46,NORMAL,6.94,245.50,2.77,134.60,29.95,1938,1082,1.62,1.67,RUIM
0.73,Vinhais,-2.570000,-44.296600,218.40,NORMAL,7.69,403.86,3.09,694.84,28.76,1904,376,1.12,3.70,MODERADA
0.73,Bequimao,-2.558900,-44.248400,217.45,NORMAL,7.59,458.25,3.78,721.13,22.37,1148,713,0.52,3.96,MODERADA
0.73,Cohama,-2.487700,-44.228700,240.33,NORMAL,7.25,467.91,3.44,713.51,19.79,2294,200,0.15,4.87,RUIM
0.77,Centro,-2.515000,-44.290600,125.28,NORMAL,7.81,432.73,4.42,857.87,26.99,1193,241,0.94,0.80,RUIM
0.77,Renascenca,-2.503800,-44.256200,135.15,NORMAL,8.48,413.87,4.44,163.05,23.71,1179,537,1.39,4.48,RUIM
0.77,Turu,-2.537900,-44.247400,161.95,NORMAL,7.12,400.78,2.04,638.85,20.15,1982,631,1.72,2.31,RUIM
0.77,Sao_Cristovao,-2.495400,-44.265200,191.40,NORMAL,7.44,419.13,1.67,329.73,30.31,1100,1051,1.16,2.85,RUIM
0.77,Anil,-2.522700,-44.254900,203.74,NORMAL,8.39,214.66,4.76,193.74,31.29,1056,1086,0.64,0.77,MODERADA
0.77,Vinhais,-2.570000,-44.296600,222.88,NORMAL,6.80,530.94,2.96,344.03,18.09,870,341,1.63,1.63,RUIM
0.77,Bequimao,-2.558900,-44.248400,235.82,NORMAL,7.29,541.90,4.06,217.13,20.25,1584,147,1.23,3.69,RUIM
0.77,Cohama,-2.487700,-44.228700,243.75,NORMAL,7.46,485.13,1.90,499.74,20.00,1914,756,0.45,4.99,RUIM
0.80,Centro,-2.515000,-44.290600,127.38,NORMAL,6.78,289.76,4.08,318.52,24.98,503,739,0.68,1.66,BOA
0.80,Renascenca,-2.503800,-44.256200,154.26,NORMAL,7.24,408.13,1.24,458.36,25.48,2351,814,0.45,3.00,RUIM
0.80,Turu,-2.537900,-44.247400,163.60,NORMAL,8.03,546.97,1.27,468.81,25.58,787,295,0.77,4.84,RUIM
0.80,Sao_Cristovao,-2.495400,-44.265200,190.53,NORMAL,8.27,281.22,4.25,231.81,23.71,2188,660,0.34,1.05,RUIM
0.80,Anil,-2.522700,-44.254900,191.34,NORMAL,7.91,492.10,4.45,308.57,25.89,1278,767,0.78,2.34,MODERADA
0.80,Vinhais,-2.570000,-44.296600,207.40,NORMAL,7.32,526.19,2.06,832.18,19.75,1840,631,0.30,1.87,RUIM
